_id,No. de proceso,Tipo proceso,Despacho judicial actual,Jurisdicción,Valor pretensión
3298,2024-00048,Ordinario Laboral,JUZGADO 014 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 17.597.896
3299,2023-00281,Nulidad y Restablecimiento del Derecho,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 174.304.032
3300,2024-00004,Contractual,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 86.341.952
3301,2023-00042,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 10.981.118
3302,2024-00031,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 325.000.000
3303,2024-00055,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DEL CIRCUITO DE CALI,Administrativo,$ 3.758.160
3304,2024-00012,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DEL CIRCUITO DE CALI,Administrativo,$ 1.745.189
3305,2024-00057,Nulidad y Restablecimiento del Derecho,Juzgado 021 Administrativo del Circuito de Cali,Administrativo,$ 3.758.160
3306,2023-00202,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 68.859.578
3307,2024-00056,Ordinario Laboral,JUZGADO 015 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 108.158.575
3308,2023-00263,Nulidad y Restablecimiento Suspensión,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 0
3309,2024-00064,Acción de Cumplimiento,JUZGADO 019 ADMINISTRATIVO ORAL DE CALI,Administrativo,$ 0
3310,2022-00960,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 500.000.000
3311,2023-00151,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
3312,2023-00266,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 953.000
3313,2021-00059,Nulidad y Restablecimiento del Derecho,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 46.239.681
3314,2023-00260,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 30.386.613
3315,2024-00052,Nulidad y Restablecimiento del Derecho,JUZGADO 016 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 83.084.977
3316,2022-00038,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 4.271.990
3317,2024-00049,Acción Popular,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
3318,2024-00054,Fuero Sindical,JUZGADO 022 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3319,2024-00069,Acción de Grupo,JUZGADO 12 ADMINISTRATIVO DE CALI,Administrativo,$ 1.433.457.972
3320,2024-00002,Reparacion Directa,JUZGADO 015 ADMINISTRATIVO DE CALI,Administrativo,$ 1.089.215.665
3321,2024-00045,Nulidad y Restablecimiento del Derecho,JUZGADO 016 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 509.889.536
3322,2024-00144,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 1.052.637.000
3323,2021-00898,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 50.326.574
3324,2024-00093,Fuero Sindical,JUZGADO 011 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3325,2023-00301,Contractual,JUZGADO 005 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 197.420.925
3326,2023-00131,Reparacion Directa,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 720.617.000
3327,2023-00550,Ordinario Laboral,JUZGADO 017 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3328,2023-00582,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 71.583.000.000
3329,2022-00035,Reparacion Directa,JUZGADO 012 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 186.754.832
3330,2024-00046,Nulidad y Restablecimiento del Derecho,JUZGADO 006 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
3331,2024-00082,Acción de Cumplimiento,JUZGADO 006 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3332,2024-00013,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO DE CALI,Administrativo,$ 6.814.547
3333,2023-00206,Reparacion Directa,JUZGADO 11 ADMINISTRATIVO DE CALI,Administrativo,$ 969.100.000
3334,2024-00005,Ordinario Laboral,JUZGADO 001 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 436.509.067
3335,2023-00462,Ordinario Laboral,JUZGADO 004 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 123.603.937
3336,2024-00064,Nulidad y Restablecimiento del Derecho,JUZGADO 001 ADMINISTRATIVO DE CALI,Administrativo,$ 1.745.189
3337,2023-00302,Nulidad y Restablecimiento del Derecho,JUZGADO 021 CONTENCIOSO ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 105.244.000
3338,2023-00050,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
3339,2021-00326,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 209.644.576
3340,2023-00219,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
3341,2024-00052,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.601.125
3342,2024-00083,Ordinario Laboral,JUZGADO 001 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 227.500.000
3343,2024-00048,Nulidad y Restablecimiento del Derecho,TRIBUNAL SUPERIOR DE SINCELEJO SALA CIVIL,Administrativo,$ 0
3344,2023-00529,Ordinario Laboral,JUZGADO 004 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 768.039.207
3345,2023-00294,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 1.144.806.784
3346,2024-00035,Nulidad y Restablecimiento del Derecho,JUZGADO 021 CONTENCIOSO ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 1.436.627
3347,2024-00031,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 11.014.137
3348,2024-00059,Nulidad y Restablecimiento del Derecho,Juzgado 021 Administrativo del Circuito de Cali,Administrativo,$ 534.339
3349,2022-00159,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.824.727
3350,2023-00288,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3351,2024-00071,Nulidad y Restablecimiento del Derecho,JUZGADO 001 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3352,2024-00058,Reparacion Directa,JUZGADO 006 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 1.287.492.157
3353,2023-00291,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 92.502.576
3354,2023-00264,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 100.134.542
3355,2023-00218,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.606.360.000
3356,2024-00027,Reparacion Directa,Juzgado 021 Administrativo del Circuito de Cali,Administrativo,$ 1.170.000.000
3357,2024-00151,Fuero Sindical,JUZGADO 008 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3358,2024-00053,Ordinario Laboral,JUZGADO 008 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 89.798.960
3359,2023-00151,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 274.871.452
3360,2023-00229,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 21.394.000
3361,2023-00250,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3362,2024-00037,Nulidad y Restablecimiento del Derecho,JUZGADO 020 ADMINISTRATIVO DE CALI,Administrativo,$ 692.450
3363,2024-00032,Nulidad Simple,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 0
3364,2024-00048,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.758.160
3365,2024-00069,Nulidad y Restablecimiento del Derecho,Juzgado 021 Administrativo del Circuito de Cali,Administrativo,$ 3.758.160
3366,2021-00129,Ejecutivo,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.089.056
3367,2024-00058,Ordinario Laboral,JUZGADO 008 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 103.077.682
3368,2024-00059,Ordinario Laboral,JUZGADO 008 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 111.248.770
3369,2024-00062,Ordinario Laboral,JUZGADO 008 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3370,2021-00151,Ejecutivo,JUZGADO 017 ADMINISTRATIVO DE CALI,Administrativo,$ 9.603.624
3371,2023-00228,Reparacion Directa,JUZGADO 2 ADMINISTRATIVO DE CALI,Administrativo,$ 618.221.618
3372,2023-00297,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3373,2023-00116,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 10.556.743
3374,2024-00060,Reparacion Directa,JUZGADO 008 ADMINISTRATIVO DE CALI,Administrativo,$ 1.495.000.000
3375,2024-00026,Reparacion Directa,JUZGADO 001 ADMINISTRATIVO DE CALI,Administrativo,$ 690.000.000
3376,2024-00333,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3377,2023-00194,Reparacion Directa,JUZGADO 003 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 1.632.804.864
3378,2024-00016,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.054.250
3379,2023-00601,Ordinario Laboral,JUZGADO 017 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 679.648.784
3380,2023-00289,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 10.348.412
3381,2024-00052,Ordinario Laboral,JUZGADO 001 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3382,2024-00039,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3383,2024-00058,Ordinario Laboral,JUZGADO 001 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 59.080.013
3384,2024-00061,Ordinario Laboral,JUZGADO 001 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 109.146.571
3385,2024-00098,Ordinario Laboral,JUZGADO 008 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3386,2024-00118,Ordinario Laboral,JUZGADO 008 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3387,2024-00042,Civil Ordinario,JUZGADO 014 CIVIL DEL CIRCUITO DE CALI,Civil,$ 0
3388,2024-00062,Nulidad y Restablecimiento del Derecho,JUZGADO 16 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3389,2023-00039,Reparacion Directa,JUZGADO 12 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3390,2024-00100,Acción de Cumplimiento,JUZGADO 12 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3391,2024-00082,Nulidad y Restablecimiento del Derecho,JUZGADO 11 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3392,2023-00214,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO ORAL DE CALI,Administrativo,$ 0
3393,2023-00256,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 308.978.932
3394,2024-00056,Nulidad y Restablecimiento del Derecho,JUZGADO 015 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3395,2024-00030,Nulidad y Restablecimiento del Derecho,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3396,2023-00194,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3397,2024-00096,Nulidad y Restablecimiento del Derecho,JUZGADO 001 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 13.646.366
3398,2023-00326,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 471.600.000
3399,2024-00027,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 13.000.000
3400,2024-00005,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 46.975.168
3401,2023-00276,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 359.600.000
3402,2021-00134,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 27.826.952
3403,2023-00286,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3404,2022-00176,Nulidad y Restablecimiento del Derecho,JUZGADO 020 ADMINISTRATIVO DE CALI,Administrativo,$ 32.023.667
3405,2024-00093,Reparacion Directa,JUZGADO 16 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3406,2024-00008,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 1.725.907.000
3407,2024-00063,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 3.758.160
3408,2023-00305,Acción Popular,JUZGADO 001 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
3409,2024-00101,Acción de Cumplimiento,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
3410,2023-00241,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 10.624.566
3411,2023-00252,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 4.906.339
3412,2024-00076,Nulidad Simple,JUZGADO 006 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
3413,2023-00012,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 700.198.400
3414,2024-41210100103182,Conciliacion prejudicial,Procuraduría de Cali Provincial de Cali,MASC,$ 165.697.425
3415,2023-00348,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
3416,2023-00215,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DEL CIRCUITO DE CALI,Administrativo,$ 3.920.741.376
3417,2024-00065,Nulidad y Restablecimiento del Derecho,JUZGADO 2 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3418,2024-00147,Nulidad y Restablecimiento del Derecho,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 0
3419,2024-00050,Nulidad y Restablecimiento del Derecho,JUZGADO 16 ADMINISTRATIVO DE CALI,Administrativo,$ 10.056.386
3420,2024-00074,Nulidad y Restablecimiento del Derecho,JUZGADO 16 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3421,2020-01556,Nulidad y Restablecimiento del Derecho,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 0
3422,2024-00068,Nulidad y Restablecimiento del Derecho,JUZGADO 016 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 30.796.407
3423,2024-00073,Nulidad y Restablecimiento del Derecho,JUZGADO 016 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
3424,2023-00159,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 77.514.912
3425,2024-00199,Fuero Sindical,JUZGADO 014 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3426,2023-00039,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
3427,2024-00247,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3428,2024-00106,Acción de Cumplimiento,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
3429,2018-00568,Ordinario Laboral,JUZGADO 020 LABORAL DEL CIRCUITO JUDICIAL DE CALI,Laboral,$ 0
3430,2023-00311,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 4.345.702
3431,2024-00096,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE CALI,Administrativo,$ 696.000.000
3432,2023-00276,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 1.044.000.000
3433,2023-00339,Reparacion Directa,JUZGADO 012 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 1.283.576.064
3434,2023-00003,Prescripción Adquisitiva De Dominio,JUZGADO 003 CIVIL DEL CIRCUITO DE CALI,Civil,$ 0
3435,2023-00883,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
3436,2023-00259,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3437,2023-00114,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
3438,2024-00058,Nulidad y Restablecimiento del Derecho,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3439,2024-00073,Nulidad y Restablecimiento del Derecho,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3440,2023-00320,Nulidad y Restablecimiento del Derecho,JUZGADO 11 ADMINISTRATIVO DE CALI,Administrativo,$ 10.939.256.400
3441,2023-00120,Nulidad y Restablecimiento del Derecho,JUZGADO 12 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3442,2024-00044,Nulidad y Restablecimiento del Derecho,JUZGADO 006 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 897.011.430
3443,2021-01029,Reparacion Directa,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 1.137.131.520
3444,2023-00046,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3445,2024-00052,Nulidad y Restablecimiento del Derecho,JUZGADO 020 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3446,2023-00138,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 19.668.069
3447,2024-00043,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 4.118.736
3448,2024-00056,Nulidad y Restablecimiento del Derecho,JUZGADO 020 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3449,2023-00333,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3450,2024-00054,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 3.758.160
3451,2024-00070,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 3.758.160
3452,2024-00006,Reparacion Directa,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 621.562.560
3453,2024-00018,Reparacion Directa,JUZGADO 008 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 1.908.252.288
3454,2024-00177,Ordinario Laboral,JUZGADO 015 LABORAL DEL CIRCUITO DE ORALIDAD DE CALI,Laboral,$ 103.244.212
3455,2024-00042,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 240.000.000
3456,2023-00077,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 205.903.664
3457,2024-00022,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 15.089.060
3458,2024-00048,Nulidad Simple,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 0
3459,2023-00260,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 174.573.952
3460,2024-00021,Reparacion Directa,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 970.115.648
3461,2024-00057,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3462,2024-00061,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3463,2024-00068,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3464,2022-00089,Nulidad y Restablecimiento del Derecho,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3465,2023-00327,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 41.362.076
3466,2024-00046,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 7.707.500
3467,2024-00063,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 3.758.160
3468,2024-00088,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 63.720.825
3469,2023-00799,Nulidad y Restablecimiento del Derecho,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 44.115.830
3470,2024-00214,Ordinario Laboral,JUZGADO 015 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3471,2024-00076,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 63.742.143
3472,2024-00052,Ordinario Laboral,JUZGADO 014 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3473,2024-00103,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 5.586.881
3474,2024-00049,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO DE CALI,Administrativo,$ 32.023.667
3475,2024-00084,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 3.758.160
3476,2024-00095,Nulidad y Restablecimiento del Derecho,JUZGADO 11 ADMINISTRATIVO DE CALI,Administrativo,$ 0
3477,2024-00047,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 1.181.244
3478,2024-00022,Ordinario Laboral,JUZGADO 014 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 26.000.000
3479,2024-00095,Nulidad y Restablecimiento del Derecho,Juzgado 021 Administrativo del Circuito de Cali,Administrativo,$ 30.522.913
3480,2024-00026,Nulidad y Restablecimiento del Derecho,JUZGADO 11 ADMINISTRATIVO DE CALI,Administrativo,$ 2.122.157
3481,2024-00321,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO DE CALI,Administrativo,$ 1.248.000.000
3482,2024-00286,Nulidad Electoral,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 0
3483,2023-00041,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 0
3484,2023-00050,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO DE CALI,Administrativo,$ 737.682.715
3485,2023-00726,Contractual,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 13.462.991.512
3486,2024-00125,Responsabilidad Civil Contractual,JUZGADO 19 CIVIL MUNICIPAL DE CALI,Civil,$ 195.000.000
3487,2023-00287,Reparacion Directa,JUZGADO 021 ADMINISTRATIVO DE CALI,Administrativo,$ 116.000.000
3488,2023-00491,Ejecutivo,JUZGADO 020 LABORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 3.480.000
3489,2024-00099,Ejecutivo Laboral,JUZGADO 014 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3490,2023-00105,Ordinario Laboral,JUZGADO 7 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3491,2024-00121,Nulidad Simple,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 0
3492,2024-00173,Fuero Sindical,JUZGADO 014 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
3493,2021-00013,Ejecutivo,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.675.193
3494,2024-00054,Acción de Grupo,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 778.908.936
3495,2020-00475,Civil Ejecutivo,JUZGADO 034 CIVIL MUNICIPAL DE CALI,Civil,$ 0
3496,2023-00335,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 0
